ID,email,LastName,FirstName,Woman,Age,Salary,Education,City,Joined,Name,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,read_rate,Talkative,Outgoing,Forgiving,Thorough,Efficient,Energetic,Helpful_unselfish,Considerate,Cooperative,Relaxed,Emotionally_stable,Sophisticated_in_arts,Easily_distracted,Moody,Curious,2009 - Amount,2010 - Amount,2011 - Amount,2012 - Amount,2013 - Amount,2014 - Amount,2015 - Amount,2016 - Amount,2017 - Amount,2018 - Amount,2019 - Amount,2020 - Amount
5000011,craig@email.com,FLORES,CRAIG         ,0,82,51000,University / College,Suburban,2013,craig flores,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000012,richard@fakemail.com,SIDEBOTTOM,RICHARD       ,0,26,35000,High School,Downtown,2014,richard sidebottom,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000013,charles@myschool.edu,DAVIS,CHARLES       ,0,40,43300,University / College,Suburban,2017,charles davis,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000014,alisa@target.me,POWELL,ALISA         ,1,64,30300,High School,Suburban,2017,alisa powell,0,0,0,0,0,0,0,0,0,0,0,1,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000015,patti@proudof.me,MCCUBBIN,PATTI         ,1,36,197500,University / College,Downtown,2010,patti mccubbin,1,0,0,0,0,0,0,0,0,1,0,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,10,NA,NA,NA,NA,NA,NA,50
5000016,kari@mail.me,BECHTLE,KARI          ,1,52,173200,University / College,City,2019,kari bechtle,0,0,0,0,0,0,0,0,1,0,0,1,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000017,dana@mymail.ca,MURO,DANA          ,1,34,17800,High School,City,2015,dana muro,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000018,paul@proudof.me,NELSEN,PAUL          ,0,48,19000,High School,Rural,2013,paul nelsen,1,0,0,1,0,1,0,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000019,leah@mymail.ca,STANPHILL,LEAH          ,1,49,2200,High School,Suburban,2019,leah stanphill,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000020,bianca@paradise.com,TRAN,BIANCA        ,1,45,199300,University / College,Suburban,2009,bianca tran,1,0,0,0,1,0,0,0,0,0,0,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000021,lindsay@mail.me,DAVIS,LINDSAY       ,1,33,47200,University / College,Rural,2009,lindsay davis,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,90,NA
5000022,sue@overview.com,RAMIC,SUE           ,1,48,47800,University / College,City,2013,sue ramic,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000023,ruby@proudof.me,SMITH,RUBY          ,1,35,18200,University / College,Suburban,2018,ruby smith,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000024,anthony@proudof.me,GOGUEN,ANTHONY       ,0,45,160600,High School,City,2018,anthony goguen,0,0,0,1,0,0,0,0,0,0,0,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000025,iris@mymail.ca,PEREYRA,IRIS          ,1,53,69300,University / College,Suburban,2019,iris pereyra,0,0,0,0,0,0,0,0,1,0,0,1,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000026,rebecca@email.com,KRISHNAMURTHY,REBECCA       ,1,43,127000,University / College,City,2019,rebecca krishnamurthy,1,0,0,0,0,0,0,0,0,0,0,1,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000027,reginald@proudof.me,GARNER,REGINALD      ,0,47,97100,Elementary,Rural,2017,reginald garner,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000028,jeffrey@fakemail.com,THOMPSON,JEFFREY       ,0,26,18300,High School,Suburban,2018,jeffrey thompson,0,0,1,0,1,0,0,0,0,0,0,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000029,james@fakemail.com,MARSELLA,JAMES         ,0,61,189800,University / College,Rural,2019,james marsella,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000030,kathy@fakemail.com,HANSON,KATHY         ,1,40,125400,University / College,City,2019,kathy hanson,1,0,0,1,0,1,0,0,1,1,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
5000031,jennie@myschool.edu,KASTURI,JENNIE        ,1,25,30300,High School,Rural,2019,jennie kasturi,0,0,0,0,0,0,0,0,0,0,1,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000032,mindy@proudof.me,DYKHOFF,MINDY         ,1,55,23800,University / College,Suburban,2014,mindy dykhoff,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000033,peggy@mymail.ca,TAYLOR,PEGGY         ,1,50,105500,High School,City,2015,peggy taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000034,philip@mymail.ca,CHANDLER,PHILIP        ,0,66,61700,High School,City,2012,philip chandler,0,0,0,0,0,0,0,0,0,1,0,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000035,douglas@youppi.fr,MARSH,DOUGLAS       ,0,67,45900,University / College,City,2019,douglas marsh,0,1,0,0,0,0,0,1,0,0,1,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000036,robert@paradise.com,BOATWRIGHT,ROBERT        ,0,44,3300,University / College,Suburban,2013,robert boatwright,1,0,0,0,0,1,0,0,0,1,0,1,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA
5000037,william@youppi.fr,HAYNES,WILLIAM       ,0,55,47400,High School,City,2012,william haynes,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,40,NA,10,NA,NA,NA
5000038,michael@paradise.com,STUART,MICHAEL       ,0,58,201800,High School,City,2018,michael stuart,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA
5000039,richard.1@target.me,WATSON,RICHARD       ,0,51,35100,University / College,Downtown,2010,richard watson,1,0,0,0,0,1,0,0,0,0,1,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,50
5000040,joseph@fakemail.com,HARTINGER,JOSEPH        ,0,78,119400,University / College,Suburban,2014,joseph hartinger,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,40
5000041,judith@mail.me,MASSEY,JUDITH        ,1,36,148300,University / College,Suburban,2012,judith massey,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000042,victoria@youppi.fr,TONEY,VICTORIA      ,1,50,43000,University / College,Rural,2019,victoria toney,0,0,0,0,0,0,0,0,0,1,0,0,0.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000043,candice@fakemail.com,RUSSELL,CANDICE       ,1,59,86200,University / College,Downtown,2015,candice russell,0,0,1,1,1,0,0,0,0,0,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000044,clarence@target.me,CONNELLY,CLARENCE      ,0,31,249000,University / College,City,2016,clarence connelly,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000045,pamela@paradise.com,NELSON,PAMELA        ,1,59,15400,University / College,Rural,2010,pamela nelson,1,0,0,1,1,0,0,1,1,1,1,0,0.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,20,NA,NA,NA,10,NA,20,NA
5000046,adrian@youppi.fr,WALKER,ADRIAN        ,0,70,74600,University / College,Suburban,2009,adrian walker,1,0,0,0,0,0,0,0,0,1,1,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,200,NA,NA
5000047,irene@proudof.me,WHITTEN,IRENE         ,1,76,12900,University / College,Rural,2018,irene whitten,1,0,0,0,0,1,0,0,0,0,0,0,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000048,william.1@target.me,MASON,WILLIAM       ,0,24,3900,University / College,Downtown,2016,william mason,1,0,0,0,1,0,0,1,0,0,1,1,0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5000049,louis@myschool.edu,MCCORD,LOUIS         ,0,23,35200,University / College,City,2011,louis mccord,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
